ID,Nume,Concurs,Profesor,grupa,dificultate,URL
1,capete,ONI 2002,,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=947,
2,case1,OJI 2006,Prof.  Horatiu Cristurean,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1084,
3,comori,.campion 2005,Prof. Sergiu Corlat,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=370,
4,cadouri,OMI Iaşi 2010,Prof. Mirela Ţibu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=986,
5,barca,OMI Iaşi 2009,Prof. Marinel Şerban,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=145,
6,psp,Urmasii lui Moisil 2011,Prof. Mirela Ţibu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1214,
7,alo,“Urmaşii lui Moisil” - Matematică şi Informatică 2010,Prof. Mirela Ţibu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1076,
8,triplu,Urmasii lui Moisil 2011,Prof. Cornelia Ivaşc,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=1215,
9,multimi,OJI 2005,Dana Vlădoiu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=784,
10,tort,OJI 2003,,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=917,
11,siruri1,OJI 2004,,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=900,
12,concurs3,OJI 2004,,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=881,
13,gardul,OJI 2003,Prof. Dan Grigoriu,2,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=914,
14,fazanr,OMI Iaşi 2010,Prof. Lucia Miron,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=985,
15,printesa,ONI 2004,Prof. Radu Vişinescu,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=995,
16,cabina,OJI 2007,Prof. Sorin Groza,1,1,http://campion.edu.ro/arhiva/index.php?page=problem&action=view&id=835,
